"ts","userid","sessionid","remote_ip","platform","sdk_ver","debug_device","user_agent","submit_time","name","custom_params__latitude","custom_params__time","custom_params__longitude","appid","type"
"1516682688939","634dc2c4a91ad49dfb9a4538bbee429d","2863045627044664532","183.82.38.44","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 7.0; SM-G610F Build/NRD90M)","01/23/2018 09:01:53","gameStart","13.04785","1.516682668344E9","80.10776","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516682646189","634dc2c4a91ad49dfb9a4538bbee429d","2863045627044664532","183.82.38.44","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 7.0; SM-G610F Build/NRD90M)","01/23/2018 09:01:53","gameStart","13.04785","1.516682606951E9","80.10776","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516683046140","634dc2c4a91ad49dfb9a4538bbee429d","2863045627044664532","183.82.38.44","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 7.0; SM-G610F Build/NRD90M)","01/23/2018 09:01:56","gameStart","13.04785","1.516683014762E9","80.10776","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516717518352","634dc2c4a91ad49dfb9a4538bbee429d","4708193634017008938","183.82.38.44","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 7.0; SM-G610F Build/NRD90M)","01/23/2018 09:01:54","gameStart","13.06076","1.516717408479E9","80.2061","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516691530762","634dc2c4a91ad49dfb9a4538bbee429d","1904171051738003835","183.82.38.44","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 7.0; SM-G610F Build/NRD90M)","01/23/2018 09:01:77","gameStart","13.04785","1.516691529182E9","80.10776","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516718413428","947fa34513595426a8b0f2600a176f10","2796315119583134153","117.193.34.130","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 5.1; CUN-L22 Build/HUAWEICUN-L22)","01/23/2018 09:01:00","gameStart","13.12075","1.516718413031E9","80.22066","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516701181579","634dc2c4a91ad49dfb9a4538bbee429d","8488173227310058643","183.83.49.236","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 7.0; SM-G610F Build/NRD90M)","01/23/2018 09:01:39","gameStart","13.06763","1.516701035659E9","80.25478","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516703400173","634dc2c4a91ad49dfb9a4538bbee429d","851695388691911793","183.83.49.236","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 7.0; SM-G610F Build/NRD90M)","01/23/2018 09:01:68","gameStart","13.06763","1.516701695079E9","80.25478","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516704015154","634dc2c4a91ad49dfb9a4538bbee429d","851695388691911793","183.83.49.236","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 7.0; SM-G610F Build/NRD90M)","01/23/2018 09:01:76","gameStart","13.06763","1.516701695079E9","80.25478","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516704046405","634dc2c4a91ad49dfb9a4538bbee429d","851695388691911793","183.83.49.236","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 7.0; SM-G610F Build/NRD90M)","01/23/2018 09:01:87","gameStart","13.06763","1.516701695079E9","80.25478","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
